校正代码,整体序号,操作内容,操作子内容
17152102,30,如果 LH 车身控制器模块安装有护罩，请松开将护罩固定到模块的夹子。,如果 LH 车身控制器模块安装有护罩，请松开将护罩固定到模块的夹子。
17152102,1,安装将护罩固定到 LH 车身控制器模块的夹子。,安装将护罩固定到 LH 车身控制器模块的夹子。
17152102,2,将 LH 车身控制器模块放置在仪表板支架底部。将 W 形夹与车身开口对齐，然后向下滑动，以便将 LH 车身控制器模块固定到车身。,将 LH 车身控制器模块放置在仪表板支架底部
17152102,2,将 LH 车身控制器模块放置在仪表板支架底部。将 W 形夹与车身开口对齐，然后向下滑动，以便将 LH 车身控制器模块固定到车身。,将 W 形夹与车身开口对齐
17152102,2,将 LH 车身控制器模块放置在仪表板支架底部。将 W 形夹与车身开口对齐，然后向下滑动，以便将 LH 车身控制器模块固定到车身。,以便将 LH 车身控制器模块固定到车身
17152102,3,安装将 LH 车身控制器模块固定到车身的新螺母。,安装将 LH 车身控制器模块固定到车身的新螺母。
17152102,4,安装将护罩排放软管固定到 LH 车身控制器模块锁片的夹子。,安装将护罩排放软管固定到 LH 车身控制器模块锁片的夹子。
17152102,5,将 LH 前车门线束夹安装到 LH 车身控制器模块。,将 LH 前车门线束夹安装到 LH 车身控制器模块。
17152102,6,将 LH 车身线束移向 LH 车身控制器模块的左侧，然后将线束夹固定到 LH 车身控制器模块。,将 LH 车身线束移向 LH 车身控制器模块的左侧
17152102,6,将 LH 车身线束移向 LH 车身控制器模块的左侧，然后将线束夹固定到 LH 车身控制器模块。,然后将线束夹固定到 LH 车身控制器模块
17152102,7,连接顶篷电气连接器。,连接顶篷电气连接器。
17152102,8,将 2 号车身电气连接器连接到 LH 车身控制器模块。,将 2 号车身电气连接器连接到 LH 车身控制器模块。
17152102,9,将 1 号车身电气连接器连接到 LH 车身控制器模块。,将 1 号车身电气连接器连接到 LH 车身控制器模块。
17152102,10,将 3 号车身电气连接器连接到 LH 车身控制器模块。,将 3 号车身电气连接器连接到 LH 车身控制器模块。
17152102,11,将前部电线连接器连接到 LH 车身控制器模块。,将前部电线连接器连接到 LH 车身控制器模块。
17152102,12,安装将 12V 电源线固定到 LH 车身控制器模块的螺母。,安装将 12V 电源线固定到 LH 车身控制器模块的螺母。
17152102,13,将直列电气线束连接器 X909 连接到 LH 车身线束，然后将其夹到 LH 车身控制器模块。,将直列电气线束连接器 X909 连接到 LH 车身线束
17152102,13,将直列电气线束连接器 X909 连接到 LH 车身线束，然后将其夹到 LH 车身控制器模块。,然后将其夹到 LH 车身控制器模块
17152102,14,将暖通空调电气连接器连接到 LH 车身控制器模块，然后接合连接器锁。,将暖通空调电气连接器连接到 LH 车身控制器模块
17152102,14,将暖通空调电气连接器连接到 LH 车身控制器模块，然后接合连接器锁。,然后接合连接器锁
17152102,15,将仪表板电气连接器安装到 LH 车身控制器模块上，然后接合连接器锁。,将仪表板电气连接器安装到 LH 车身控制器模块上
17152102,15,将仪表板电气连接器安装到 LH 车身控制器模块上，然后接合连接器锁。,然后接合连接器锁
17152102,16,将驾驶位座椅电气连接器连接到 LH 车身控制器模块，然后接合连接器锁。,将驾驶位座椅电气连接器连接到 LH 车身控制器模块
17152102,16,将驾驶位座椅电气连接器连接到 LH 车身控制器模块，然后接合连接器锁。,然后接合连接器锁
17152102,17,将 LH 前车门电气连接器连接到 LH 车身控制器模块，然后接合连接器锁。,将 LH 前车门电气连接器连接到 LH 车身控制器模块
17152102,17,将 LH 前车门电气连接器连接到 LH 车身控制器模块，然后接合连接器锁。,然后接合连接器锁
17152102,18,连接将 LH 前车门电气连接器固定到 LH 车身控制器模块的夹子。,连接将 LH 前车门电气连接器固定到 LH 车身控制器模块的夹子。
17152102,19,将电气线束夹固定到仪表板支架上。,将电气线束夹固定到仪表板支架上。
17152102,20,安装 LH 脚部空间进气槽。请参阅风管 - 脚部空间 - LH（拆卸和更换）。,安装 LH 脚部空间进气槽。请参阅风管 - 脚部空间 - LH（拆卸和更换）。
17152102,21,安装驾驶位膝部气囊。请参阅气囊 - 膝部 - 驾驶位（拆卸和更换）。,安装驾驶位膝部气囊。请参阅气囊 - 膝部 - 驾驶位（拆卸和更换）。
17152102,22,安装驾驶位脚部空间罩。请参阅罩 - 脚部空间 - 驾驶位（拆卸和更换）。,安装驾驶位脚部空间罩。请参阅罩 - 脚部空间 - 驾驶位（拆卸和更换）。
17152102,23,安装 LH A 柱下部饰板。请参阅饰板 - A 柱 - 下部 - LH（拆卸和更换）。,安装 LH A 柱下部饰板。请参阅饰板 - A 柱 - 下部 - LH（拆卸和更换）。
17152102,24,安装 A 柱 LH 中部饰板。请参阅饰板 - A 柱 - 中间 - LH（拆卸和更换）。,安装 A 柱 LH 中部饰板。请参阅饰板 - A 柱 - 中间 - LH（拆卸和更换）。
17152102,25,安装 LH 仪表板端盖。请参阅端盖 - 仪表板 - LH（拆卸和更换）。,安装 LH 仪表板端盖。请参阅端盖 - 仪表板 - LH（拆卸和更换）。
17152102,26,连接 12V 电源。请参阅12V/低压电源（断开和连接）。,连接 12V 电源。请参阅12V/低压电源（断开和连接）。
17152102,27,安装前备箱后部挡板。请参阅前备箱挡板 - 后（拆卸和更换）。,安装前备箱后部挡板。请参阅前备箱挡板 - 后（拆卸和更换）。
17152102,28,安装第二排下部座垫。请参阅座垫 - 下 - 第二排（拆卸和更换）。,安装第二排下部座垫。请参阅座垫 - 下 - 第二排（拆卸和更换）。
17152102,29,使用 Toolbox 3.0 与车辆相连。,使用 Toolbox 3.0 与车辆相连。
17152102,30,执行服务 CAN 重新部署。请参阅固件重新部署。,执行服务 CAN 重新部署。请参阅固件重新部署。
17152102,31,在副驾位座椅就座，关闭 RH 前车门。,在副驾位座椅就座
17152102,31,在副驾位座椅就座，关闭 RH 前车门。,关闭 RH 前车门
17152102,32,在 Toolbox 中，点击Actions选项卡，然后在搜索字段中输入“PROC_VCLEFT”。,点击Actions选项卡
17152102,32,在 Toolbox 中，点击Actions选项卡，然后在搜索字段中输入“PROC_VCLEFT”。,然后在搜索字段中输入“PROC_VCLEFT”
17152102,33,点击PROC_VCLEFT_X-POST-REPLACEMENT-PROCEDURE，然后点击Run，等待例程完成。,点击PROC_VCLEFT_X-POST-REPLACEMENT-PROCEDURE
17152102,33,点击PROC_VCLEFT_X-POST-REPLACEMENT-PROCEDURE，然后点击Run，等待例程完成。,然后点击Run
17152102,34,断开笔记本电脑与车辆的连接。,断开笔记本电脑与车辆的连接。
17152202,1,在触摸屏上，关闭温度控制系统的电源，然后等待至少 30 秒，以便温度控制系统彻底关闭。,关闭温度控制系统的电源
17152202,2,拆下第二排下部座垫。请参阅座垫 - 下 - 第二排（拆卸和更换）。,拆下第二排下部座垫。请参阅座垫 - 下 - 第二排（拆卸和更换）。
17152202,3,拆下前备箱后部挡板。请参阅前备箱挡板 - 后（拆卸和更换）。,拆下前备箱后部挡板。请参阅前备箱挡板 - 后（拆卸和更换）。
17152202,4,断开 12V 电源。请参阅12V/低压电源（断开和连接）。,断开 12V 电源。请参阅12V/低压电源（断开和连接）。
17152202,5,拆下 LH 仪表板端盖。请参阅端盖 - 仪表板 - LH（拆卸和更换）。,拆下 LH 仪表板端盖。请参阅端盖 - 仪表板 - LH（拆卸和更换）。
17152202,6,拆下 LH 气流端盖。请参阅端盖 - 气波 - LH（拆卸和更换）。,拆下 LH 气流端盖。请参阅端盖 - 气波 - LH（拆卸和更换）。
17152202,7,在车辆 RH 侧重复第 5 步和第 6 步。,在车辆 RH 侧重复第 5 步和第 6 步。
17152202,8,拆下主仪表板饰板。请参阅装饰饰件 - 仪表板 - 主（拆卸和更换）。,拆下主仪表板饰板。请参阅装饰饰件 - 仪表板 - 主（拆卸和更换）。
17152202,9,拆下 RH A 柱中部饰板。请参阅饰板 - A 柱 - 中间 - LH（拆卸和更换）。,拆下 RH A 柱中部饰板。请参阅饰板 - A 柱 - 中间 - LH（拆卸和更换）。
17152202,10,拆下 A 柱 RH 下部饰板。请参阅饰板 - A 柱 - 下部 - LH（拆卸和更换）。,拆下 A 柱 RH 下部饰板。请参阅饰板 - A 柱 - 下部 - LH（拆卸和更换）。
17152202,11,拆下副驾位脚部空间罩。请参阅罩 - 脚部空间 - 副驾位（左侧驾驶）（拆卸和更换）。,拆下副驾位脚部空间罩。请参阅罩 - 脚部空间 - 副驾位（左侧驾驶）（拆卸和更换）。
17152202,12,拆下副驾位膝部气囊。请参阅气囊 - 膝部 - 副驾位（拆卸和更换）。,拆下副驾位膝部气囊。请参阅气囊 - 膝部 - 副驾位（拆卸和更换）。
17152202,13,拆下手套箱。请参阅手套箱 - 有膝部气囊（拆卸和更换）。,拆下手套箱。请参阅手套箱 - 有膝部气囊（拆卸和更换）。
17152202,14,拆下 RH 前侧脚垫。,拆下 RH 前侧脚垫。
17152202,15,拆下中控台 RH 板毡毯。请参阅侧板 - 中控台 - LH（拆卸和更换）。,拆下中控台 RH 板毡毯。请参阅侧板 - 中控台 - LH（拆卸和更换）。
17152202,16,松开将 RH 前毡毯固定到 RH 脚部空间的夹子。,松开将 RH 前毡毯固定到 RH 脚部空间的夹子。
17152202,17,向后折叠 RH 前毡毯。,向后折叠 RH 前毡毯。
17152202,18,拆下将 RH 侧毡毯定位器支架固定到车辆的螺母，然后从车上拆下 RH 侧毡毯定位器支架。,拆下将 RH 侧毡毯定位器支架固定到车辆的螺母
17152202,18,拆下将 RH 侧毡毯定位器支架固定到车辆的螺母，然后从车上拆下 RH 侧毡毯定位器支架。,然后从车上拆下 RH 侧毡毯定位器支架
17152202,19,断开电气连接器与 RH 车身控制器模块的连接。,断开电气连接器与 RH 车身控制器模块的连接。
17152202,20,解锁，然后断开 RH 前车门电气连接器与 RH 车身控制器模块的连接。,解锁，然后断开 RH 前车门电气连接器与 RH 车身控制器模块的连接。
17152202,21,松开连接器锁，然后断开 副驾位座椅电气连接器与 RH 车身控制器模块的连接。,松开连接器锁
17152202,21,松开连接器锁，然后断开 副驾位座椅电气连接器与 RH 车身控制器模块的连接。,然后断开 副驾位座椅电气连接器与 RH 车身控制器模块的连接
17152202,22,断开仪表板线束同轴电缆与 RH 车身控制器模块的连接。,断开仪表板线束同轴电缆与 RH 车身控制器模块的连接。
17152202,23,断开 仪表板电气连接器与 RH 车身控制器模块的连接。,断开 仪表板电气连接器与 RH 车身控制器模块的连接。
17152202,24,断开 暖通空调电气连接器与 RH 车身控制器模块的连接。,断开 暖通空调电气连接器与 RH 车身控制器模块的连接。
17152202,25,断开前侧线束连接器与 RH 车身控制器模块的连接。,断开前侧线束连接器与 RH 车身控制器模块的连接。
17152202,26,松开将直列式电气连接器固定到 RH 车身控制器模块的夹子，然后断开电气连接器。,松开将直列式电气连接器固定到 RH 车身控制器模块的夹子
17152202,26,松开将直列式电气连接器固定到 RH 车身控制器模块的夹子，然后断开电气连接器。,然后断开电气连接器
17152202,27,拆下并弃用将电线固定到 RH 车身控制器模块的螺母，并从 RH 车身控制器模块上拆下电线。,拆下并弃用将电线固定到 RH 车身控制器模块的螺母
17152202,27,拆下并弃用将电线固定到 RH 车身控制器模块的螺母，并从 RH 车身控制器模块上拆下电线。,并从 RH 车身控制器模块上拆下电线
17152202,28,从 RH 车身控制器模块上拆下直流-直流正极电缆 。,从 RH 车身控制器模块上拆下直流-直流正极电缆 。
17152202,29,松开仪表板支架下方的电气线束夹 。,松开仪表板支架下方的电气线束夹 。
17152202,30,解锁，然后断开车身 2 电气连接器与 RH 车身控制器模块的连接。,解锁，然后断开车身 2 电气连接器与 RH 车身控制器模块的连接。
17152202,31,解锁，然后断开车身 1 电气连接器与 RH 车身控制器模块的连接。,解锁，然后断开车身 1 电气连接器与 RH 车身控制器模块的连接。
17152202,32,解锁，然后断开车身 3 电气连接器与 RH 车身控制器模块的连接。,解锁，然后断开车身 3 电气连接器与 RH 车身控制器模块的连接。
17152202,33,断开 RH A 柱底部区域的 3 处直列式电气连接器。,断开 RH A 柱底部区域的 3 处直列式电气连接器。
17152202,34,松开将电气线束固定到 RH A 柱下部区域的夹子。,松开将电气线束固定到 RH A 柱下部区域的夹子。
17152202,35,松开将 RH 车身电气线束固定到 RH 车身控制器模块的夹子。,松开将 RH 车身电气线束固定到 RH 车身控制器模块的夹子。
17152202,36,从 RH 车身控制器模块中移出 RH 车身线束。,从 RH 车身控制器模块中移出 RH 车身线束。
17152202,37,松开将线束固定到 RH 车身控制器模块的夹子。,松开将线束固定到 RH 车身控制器模块的夹子。
17152202,38,拆下并弃用将 RH 车身控制器模块固定到车身的螺母。,拆下并弃用将 RH 车身控制器模块固定到车身的螺母。
17152202,39,向上滑动 RH 车身控制器，以松开 W 型夹，然后从仪表板下方移出 RH 车身控制器，接着从车上拆下 RH 车身控制器。,向上滑动 RH 车身控制器
17152202,39,向上滑动 RH 车身控制器，以松开 W 型夹，然后从仪表板下方移出 RH 车身控制器，接着从车上拆下 RH 车身控制器。,以松开 W 型夹
17152202,39,向上滑动 RH 车身控制器，以松开 W 型夹，然后从仪表板下方移出 RH 车身控制器，接着从车上拆下 RH 车身控制器。,然后从仪表板下方移出 RH 车身控制器
17152202,39,向上滑动 RH 车身控制器，以松开 W 型夹，然后从仪表板下方移出 RH 车身控制器，接着从车上拆下 RH 车身控制器。,接着从车上拆下 RH 车身控制器
17152202,40,倘若 RH 车身控制器模块配有护罩，请松开将护罩固定到模块的夹子。,倘若 RH 车身控制器模块配有护罩，请松开将护罩固定到模块的夹子。
17152202,1,将护罩单独放置在车辆的相应位置上。,将护罩单独放置在车辆的相应位置上。
17152202,2,将 RH 车身控制器模块调整至仪表板支架底部，然后安装将护罩固定到模块的 2 个夹子。,将 RH 车身控制器模块调整至仪表板支架底部
17152202,2,将 RH 车身控制器模块调整至仪表板支架底部，然后安装将护罩固定到模块的 2 个夹子。,然后安装将护罩固定到模块的 2 个夹子
17152202,3,将 W 型夹与车身开口对齐，然后向下滑动，以便将 RH 车身控制器固定到车身。,将 W 型夹与车身开口对齐
17152202,3,将 W 型夹与车身开口对齐，然后向下滑动，以便将 RH 车身控制器固定到车身。,以便将 RH 车身控制器固定到车身
17152202,4,安装将 RH 车身控制器模块固定到车辆的新螺母。,安装将 RH 车身控制器模块固定到车辆的新螺母。
17152202,5,安装将线束固定到 RH 车身控制器的夹子。,安装将线束固定到 RH 车身控制器的夹子。
17152202,6,将 RH 车身线束上移至 RH 车身控制器的右侧，然后安装，将线束夹  固定到 RH 车身控制器。,将 RH 车身线束上移至 RH 车身控制器的右侧
17152202,6,将 RH 车身线束上移至 RH 车身控制器的右侧，然后安装，将线束夹  固定到 RH 车身控制器。,将线束夹  固定到 RH 车身控制器
17152202,7,安装将 RH 车身线束固定到 A 柱下部区域的夹子。,安装将 RH 车身线束固定到 A 柱下部区域的夹子。
17152202,8,连接 RH A 柱夹子处的线束。,连接 RH A 柱夹子处的线束。
17152202,9,将车身 3 电气连接器连接到 RH 车身控制器模块。,将车身 3 电气连接器连接到 RH 车身控制器模块。
17152202,10,将车身 1 电气连接器连接到 RH 车身控制器模块。,将车身 1 电气连接器连接到 RH 车身控制器模块。
17152202,11,将车身 2 电气连接器连接到 RH 车身控制器模块。,将车身 2 电气连接器连接到 RH 车身控制器模块。
17152202,12,将线束夹  安装到仪表板支架上。,将线束夹  安装到仪表板支架上。
17152202,13,将直流-直流正极电缆安装到 RH 车身控制器模块上。,将直流-直流正极电缆安装到 RH 车身控制器模块上。
17152202,14,安装将正极电缆固定到 RH 车身控制器模块上的新螺母 ,安装将正极电缆固定到 RH 车身控制器模块上的新螺母 
17152202,15,连接直列式电气连接器，然后固定到 RH 车身控制器模块上。,连接直列式电气连接器
17152202,15,连接直列式电气连接器，然后固定到 RH 车身控制器模块上。,然后固定到 RH 车身控制器模块上
17152202,16,将前侧线束电气连接器连接到 RH 车身控制器模块,将前侧线束电气连接器连接到 RH 车身控制器模块
17152202,17,将暖通空调电气连接器连接到 RH 车身控制器模块。,将暖通空调电气连接器连接到 RH 车身控制器模块。
17152202,18,将仪表板电气连接器连接到 RH 车身控制器模块。,将仪表板电气连接器连接到 RH 车身控制器模块。
17152202,19,将仪表板线束同轴电缆连接到 RH 车身控制器模块。,将仪表板线束同轴电缆连接到 RH 车身控制器模块。
17152202,20,将副驾位座椅电气连接器连接到 RH 车身控制器模块。,将副驾位座椅电气连接器连接到 RH 车身控制器模块。
17152202,21,将 RH 前车门电气连接器连接到 RH 车身控制器模块。,将 RH 前车门电气连接器连接到 RH 车身控制器模块。
17152202,22,将 RH 前车门线缆连接器连接到 RH 车身控制器模块。,将 RH 前车门线缆连接器连接到 RH 车身控制器模块。
17152202,23,安装将 RH 毡毯定位器支架固定到车辆的螺母。,安装将 RH 毡毯定位器支架固定到车辆的螺母。
17152202,24,将 RH 前毡毯向后折叠至原始位置。,将 RH 前毡毯向后折叠至原始位置。
17152202,25,安装将 RH 前毡毯固定到腿部区域的夹子。,安装将 RH 前毡毯固定到腿部区域的夹子。
17152202,26,安装中控台 RH 板毡毯。请参阅侧板 - 中控台 - LH（拆卸和更换）。,安装中控台 RH 板毡毯。请参阅侧板 - 中控台 - LH（拆卸和更换）。
